symbol,shortName,sector,industry,marketCap,Market_Cap_B,trailingEps,forwardEps,trailingPE,forwardPE,priceToBook,ROE_%,ROA_%,debtToEquity,Dividend_Yield_%,beta,52W_High,52W_Low
PEGE,Panca Global Kapital Tbk.,Financial Services,Capital Markets,561016537088.0,561.016537088,-8.88,,,,3.7930307,-15.690999999999999,-7.911,,,2.103,220.0,85.0
PEHA,Phapros Tbk.,Healthcare,Drug Manufacturers - Specialty & Generic,272159997952.0,272.159997952,-276.99,,,,0.7122116,-42.71,-7.3340000000000005,183.907,,0.275,398.0,260.0
PEVE,Penta Valent Tbk.,Healthcare,Pharmaceutical Retailers,882812452864.0,882.812452864,,,,,2.6654868,20.061001,4.407,99.532,,0.268,740.0,238.0
PGAS,Perusahaan Gas Negara Tbk.,Utilities,Utilities - Regulated Gas,42180223696896.0,42180.223696896,216.08,203.41,8.052573,8.554152,15263.158,12.081999999999999,4.9489997,32.802,1052.0,-0.196,1895.0,1425.0
PGJO,Bahtera Bumi Raya Tbk.,Consumer Cyclical,Travel Services,1078389047296.0,1078.389047296,-15.817,,,,375.97113,-110.34299999999999,-48.394,48.81,,1.345,1355.0,87.0
PGEO,Pertamina Geothermal Energy Tbk,Utilities,Utilities - Renewable,50387998474240.0,50387.99847424,51.88,62.59,23.226677,19.252277,25104.166,6.548,4.125,38.095,446.0,-1.639,1855.0,700.0
PGLI,Pembangunan Graha Lestari Indah,Consumer Cyclical,Lodging,182511992832.0,182.511992832,-0.82,,,,13.40646,-4.7930002,-4.9110000000000005,102.397,,1.007,540.0,110.0
PGUN,Pradiksi Gunatama Tbk.,Consumer Defensive,Farm Products,75596155584512.0,75596.155584512,28.6,,460.66434,,40.18778,9.2,6.2459998,21.008,2.0,3.182,29525.0,424.0
PICO,Pelangi Indah Canindo Tbk,Consumer Cyclical,Packaging & Containers,144367239168.0,144.367239168,2.66,,95.488716,,0.678475,1.7029999,2.2909999,50.912,,-0.3,440.0,87.0
PIPA,Multi Makmur Lemindo Tbk.,Industrials,Building Products & Equipment,925046210560.0,925.04621056,1.24,,217.74193,,6.1840086,2.487,-0.44,10.41,,1.172,625.0,9.0
PIPP,,,,,,,,,,,,,,,,,
PJAA,Pembangunan Jaya Ancol Tbk,Consumer Cyclical,Leisure,831999967232.0,831.999967232,85.02,,6.116208,,0.4796703,7.753,5.0669998000000005,42.754,462.0,-0.138,700.0,450.0
PJHB,Pelayaran Jaya Hidup Baru Tbk.,,,1123200008192.0,1123.200008192,,,,,5.1972284,,,,,,1085.0,412.0
PKPK,Paragon Karya Perkasa Tbk.,Industrials,Engineering & Construction,708000022528.0,708.000022528,1.473,,400.5431,,3.0904937,15.268999999999998,4.494,104.261,,-0.099,875.0,492.0
PLAN,Planet Properindo Jaya Tbk.,Consumer Cyclical,Lodging,43042058240.0,43.04205824,-1.114,,,,0.7802214,-7.738,1.203,42.003,,0.358,82.0,24.0
PLAS,"PLAS.JK,0P0000EJOZ,0",,,59209998336.0,59.209998336,,,,,0.36253953,,,,,,50.0,50.0
PLIN,Plaza Indonesia Realty Tbk,Real Estate,Real Estate Services,8874741465088.0,8874.741465088,282.12,,8.896923,,0.7779778,8.8719994,3.1850000000000005,4.676,,-0.206,2860.0,2490.0
PMJS,Putra Mandiri Jembar Tbk.,Consumer Cyclical,Auto & Truck Dealerships,1595649556480.0,1595.64955648,6.93,,16.738817,,0.5957027,3.7639998,2.3729999,3.674,276.0,0.346,147.0,103.0
PMMP,Panca Mitra Multiperdana Tbk.,Consumer Defensive,Packaged Foods,129415004160.0,129.41500416,0.004,,12499.999,,1851.8518,-26.051000000000002,-2.261,280.964,,-0.747,126.0,50.0
PMUI,Prima Multi Usaha Indonesia Tbk,Technology,Electronics & Computer Distribution,852600029184.0,852.600029184,,,,,2.0644617,,,5.08,,,174.0,111.0
PNBN,Bank Pan Indonesia Tbk,Financial Services,Banks - Regional,24787747340288.0,24787.747340288,110.85,,9.291836,9.702335,0.46680325,5.258,1.308,,405.99999999999994,-0.487,2080.0,990.0
PNBS,Bank Panin Dubai Syariah Tbk.,Financial Services,Banks - Regional,2095936700416.0,2095.936700416,0.99,,54.545452,,0.7154592,1.322,0.22100000000000003,,,0.246,61.0,50.0
PNGO,Pinago Utama Tbk.,Consumer Defensive,Farm Products,2382812413952.0,2382.812413952,376.98,,8.090614,,2.056387,28.750999999999998,16.392,25.304,557.0,0.369,4720.0,1480.0
PNIN,Paninvest Tbk,Financial Services,Insurance - Life,3254659055616.0,3254.659055616,247.32,,3.2346756,,0.1459406,4.744000000000001,1.328,,,,1225.0,755.0
PNLF,Panin Financial Tbk,Financial Services,Banks - Regional,8069562499072.0,8069.562499072,51.5,,4.8932037,,0.2590948,5.041,1.3820000000000001,,,-0.828,505.0,222.0
PNSE,Pudjiadi & Sons Tbk.,Consumer Cyclical,Resorts & Casinos,582403883008.0,582.403883008,-39.21,,,,4.5636125,0.9249999999999999,1.363,28.691,7.000000000000001,-0.121,1470.0,316.0
POLA,Pool Advista Finance Tbk.,Financial Services,Credit Services,117287649280.0,117.28764928,-3.91,,,,0.54855496,-5.43,-5.263,,,2.169,74.0,10.0
POLL,Pollux Properties Indonesia Tbk,Real Estate,Real Estate - Development,931708207104.0,931.708207104,1.31,,85.496185,,0.5920663,2.076,0.8699999999999999,21.995,,-0.256,112.0,112.0
POLI,Pollux Hotels Group Tbk.,Real Estate,Real Estate - Development,1528000151552.0,1528.000151552,43.85,,17.331814,,0.7351014,4.362,3.1240001,64.961,,-0.193,815.0,695.0
POLU,Golden Flower Tbk.,Consumer Cyclical,Apparel Manufacturing,17231250456576.0,17231.250456576,13.35,,1720.9738,,126.90916,7.165000000000001,1.413,17.952,,-0.142,41900.0,910.0
POOL,"POOL.JK,0P0000EQUC,0",,,117068505088.0,117.068505088,,,,,0.3137747,,,,,,50.0,50.0
PORT,Nusantara Pelabuhan Handal Tbk.,Industrials,Marine Shipping,3179754553344.0,3179.754553344,45.95,,24.591948,,2.9830494,12.959999999999999,7.9959996,86.955,,0.871,2030.0,670.0
POSA,"POSA.JK,0P0001HEPA,0",,,419443507200.0,419.4435072,,,,,-2.3722541,,,,,,50.0,50.0
POWR,Cikarang Listrindo Tbk.,Utilities,Utilities - Independent Power Producers,11318411132928.0,11318.411132928,63.65,81.1,11.233307,8.816277,15543.479,8.248999999999999,5.454,48.03,969.0,0.002,750.0,625.0
PPGL,Prima Globalindo Logistik Tbk.,Industrials,Integrated Freight & Logistics,102566682624.0,102.566682624,23.924,,5.559271,,1.2932584,6.429,3.769,50.557,963.0000000000001,,149.0,88.0
PPRE,PP Presisi Tbk.,Industrials,Engineering & Construction,1183596937216.0,1183.596937216,960.84,,0.12176845,,0.45008135,8.167,5.593,51.946,,0.197,145.0,50.0
PPRI,Paperocks Indonesia Tbk.,Consumer Cyclical,Packaging & Containers,365509279744.0,365.509279744,,,,,3.744246,4.756,2.833,14.2,31.0,,580.0,103.0
PPRO,PP Properti Tbk.,Real Estate,Real Estate - Development,1295189147648.0,1295.189147648,-31.96,,,,0.82830435,-5.799,-0.439,21.026,,0.027,22.0,21.0
PRDA,Prodia Widyahusada Tbk.,Healthcare,Diagnostics & Research,2268750151680.0,2268.75015168,206.78,,11.703259,8.137202,0.93185985,8.068,4.4099998000000005,0.945,718.0,-0.304,3010.0,2410.0
PRAY,Famon Awal Bros Sedaya Tbk.,Healthcare,Medical Care Facilities,11795711393792.0,11795.711393792,10.63,,79.492004,41.625618,3.7144163,4.423,3.2689999999999997,49.821,,0.589,980.0,585.0
PRIM,Royal Prima Tbk.,Healthcare,Medical Care Facilities,277022244864.0,277.022244864,-2.11,,,,0.29019153,-0.753,-0.34299999999999997,,,-0.076,116.0,50.0
PSAB,J Resources Asia Pasifik Tbk.,Basic Materials,Gold,14288399892480.0,14288.39989248,20.09,,26.879044,,45000.0,9.897,5.3639997,63.552,,0.626,755.0,206.0
PSAT,Pancaran Samudera Transport Tbk,Industrials,Marine Shipping,1964117721088.0,1964.117721088,78.5,,16.87898,,1.4999055,,,15.865,,,3410.0,1125.0
PSDN,Prasidha Aneka Niaga Tbk,Consumer Defensive,Packaged Foods,151200006144.0,151.200006144,4.7,,22.340425,,4.614371,,,,,0.226,146.0,59.0
PSGO,Palma Serasih Tbk.,Consumer Defensive,Farm Products,4071600160768.0,4071.600160768,20.81,,10.379625,,1.5763662,15.953000000000001,8.456001,40.845,364.0,0.322,290.0,139.0
PSKT,Red Planet Indonesia Tbk.,Consumer Cyclical,Lodging,1552684810240.0,1552.68481024,-0.986,,,,4.7725105,-2.855,-1.179,1.923,,-0.22,174.0,22.0
PSSI,IMC Pelita Logistik Tbk.,Industrials,Marine Shipping,1822750801920.0,1822.75080192,5.04,,69.04762,,11600.0,1.1089999,1.097,9.545,229.0,0.186,430.0,330.0
PTBA,Bukit Asam Tbk.,Energy,Thermal Coal,26598164135936.0,26598.164135936,283.9,408.91,8.136668,5.6491647,1.2872143,15.961,4.9850002,19.582,1439.0,-0.189,3070.0,2170.0
PTIS,Indo Straits Tbk.,Industrials,Marine Shipping,229969100800.0,229.9691008,1.35,,309.62964,,11000.0,0.27,2.2929999999999997,2.096,,0.894,510.0,200.0
PTPP,PP (Persero) Tbk.,Industrials,Engineering & Construction,2325688352768.0,2325.688352768,25.0,53.9,15.04,6.975881,0.1916284,0.441,-0.005,142.128,,0.53,500.0,216.0
PTPW,Pratama Widya Tbk.,Industrials,Engineering & Construction,851841908736.0,851.841908736,75.327,,12.877188,,1.2990004,7.041,4.758,4.07,59.0,0.361,995.0,830.0
PTRO,Petrosea Tbk,Basic Materials,Other Industrial Metals & Mining,89009388781568.0,89009.388781568,168.88,,52.25604,79.14798,367708.34,5.801,2.795,276.511,19.0,1.048,9250.0,1850.0
PTSN,Sat Nusapersada Tbk,Technology,Electronic Components,1976935907328.0,1976.935907328,36.18,,10.281923,,16173.913,9.6420005,4.936999999999999,24.641,137.0,0.292,550.0,179.0
PTSP,Pioneerindo Gourmet Internation,Consumer Cyclical,Restaurants,251721121792.0,251.721121792,84.73,,13.454502,,1.5210121,11.485,4.626,38.966,,1.413,1640.0,615.0
PUDP,Pudjiadi Prestige Tbk.,Real Estate,Real Estate Services,659119996928.0,659.119996928,-53.827,,,,1.2937732,-0.037999998,-1.5599999999999998,3.936,229.0,,1165.0,185.0
PURA,Putra Rajawali Kencana Tbk.,Industrials,Trucking,170152132608.0,170.152132608,1.447,,18.659294,,0.33468863,1.275,2.9679998999999997,21.093,,0.183,52.0,9.0
PWON,Pakuwon Jati Tbk.,Real Estate,Real Estate - Diversified,17433775570944.0,17433.775570944,44.42,49.14,8.149483,7.3667073,0.79833806,10.2419995,5.242999999999999,21.136,359.0,0.398,452.0,304.0
PYFA,Pyridam Farma Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,5899263410176.0,5899.263410176,-52.42,,,,8.049431,-49.875997999999996,-0.336,690.505,,1.15,700.0,136.0
PZZA,Sarimelati Kencana Tbk.,Consumer Cyclical,Restaurants,679240925184.0,679.240925184,13.24,8.3,17.069487,27.228914,0.6565912,3.952,3.1,41.09,,0.45,310.0,90.0
RAAM,Tripar Multivision Plus Tbk.,Communication Services,Entertainment,1676150571008.0,1676.150571008,-12.94,,,,1.2793908,-6.389,-2.844,22.937,320.0,0.623,422.0,220.0
RACY,,,,,,,,,,,,,,,,,
RAFI,Sari Kreasi Boga Tbk.,Consumer Cyclical,Restaurants,118869344256.0,118.869344256,,,,,0.48638755,-18.386999,-2.559,21.413,213.0,,42.0,14.0
RAJA,Rukun Raharja Tbk,Utilities,Utilities - Regulated Gas,19994100367360.0,19994.10036736,89.63,,52.77251,,107500.0,14.838000000000001,8.25,65.05,130.0,-0.154,6000.0,1455.0
RALS,Ramayana Lestari Sentosa Tbk,Consumer Cyclical,Department Stores,2586030899200.0,2586.0308992,56.38,53.73,7.7332387,8.114647,0.73601526,9.508999999999999,3.9600000000000004,12.103,1382.0,0.449,482.0,324.0
RANC,Supra Boga Lestari Tbk.,Consumer Defensive,Grocery Stores,1564487581696.0,1564.487581696,5.412,,184.77457,,5.6089654,-18.966,-1.4520001,121.477,,1.403,1240.0,374.0
RATU,Raharja Energi Cepu Tbk.,Energy,Oil & Gas E&P,26539651497984.0,26539.651497984,86.68,,112.77111,977500.0,651666.7,45.409,22.215,43.878,42.0,,10975.0,1435.0
RARE,,,,,,,,,,,,,,,,,
RBMS,Ristia Bintang Mahkotasejati Tb,Real Estate,Real Estate - Development,103592296448.0,103.592296448,-10.043,,,,0.22499135,-2.358,0.758,28.329,,,50.0,22.0
