symbol,shortName,sector,industry,marketCap,Market_Cap_B,trailingEps,forwardEps,trailingPE,forwardPE,priceToBook,ROE_%,ROA_%,debtToEquity,Dividend_Yield_%,beta,52W_High,52W_Low
SICO,Sigma Energy Compressindo Tbk.,Energy,Oil & Gas Equipment & Services,122860494848.0,122.860494848,9.489,,14.226999,,0.9625943,11.0489994,6.877,16.878,451.0,-0.042,167.0,88.0
SIDO,Industri Jamu dan Farmasi Sido ,Healthcare,Drug Manufacturers - Specialty & Generic,16529287544832.0,16529.287544832,40.59,40.09,13.673319,13.843851,4.7987967,34.358,24.365999,0.047,800.0,0.099,630.0,480.0
SILO,Siloam International Hospitals ,Healthcare,Medical Care Facilities,32601167364096.0,32601.167364096,78.8,118.59,31.85279,21.16536,3.4845722,11.965,7.756,17.614,89.0,0.269,3240.0,1830.0
SIMA,"SIMA.JK,0P0000C0M9,0",,,22129500160.0,22.12950016,,,,,-11.037527,,,,,,50.0,50.0
SIMP,Salim Ivomas Pratama Tbk.,Consumer Defensive,Packaged Foods,9920838631424.0,9920.838631424,139.99,48.6,4.571755,13.168725,0.50022393,12.274000000000001,7.549,36.268,317.0,0.385,720.0,346.0
SINI,Singaraja Putra Tbk.,Basic Materials,Lumber & Wood Production,3511300128768.0,3511.300128768,-104.39,,,,-4.628558,,-0.063,,,2.812,7400.0,1955.0
SIPD,Sreeya Sewu Indonesia Tbk.,Consumer Defensive,Farm Products,1333349056512.0,1333.349056512,11.96,,60.61873,,1.1029233,1.8429999999999997,1.5800001000000001,73.66,,0.614,990.0,605.0
SKBM,Sekar Bumi Tbk.,Consumer Defensive,Packaged Foods,942906212352.0,942.906212352,15.42,,35.343708,,0.9579117,2.236,1.714,60.49,,0.266,975.0,268.0
SKLT,Sekar Laut Tbk,Consumer Defensive,Packaged Foods,1309290397696.0,1309.290397696,21.31,,9.854528,,1.7539171,15.622,7.467,27.703,425.0,-0.676,284.0,152.0
SKRN,Superkrane Mitra Utama Tbk.,Industrials,Rental & Leasing Services,5053779804160.0,5053.77980416,30.08,,23.603724,,8.463867,31.796999999999997,7.897,84.924,1232.0,-0.007,1260.0,300.0
SKYB,"SKYB.JK,0P0000PSUD,0",,,29834999808.0,29.834999808,,,,,0.54233396,,,,,,52.0,50.0
SKYT,,,,,,,,,,,,,,,,,
SLIS,Gaya Abadi Sempurna Tbk.,Technology,Electronics & Computer Distribution,194603696128.0,194.603696128,-3.57,,,,0.57341945,-2.726,-0.482,13.355,,-0.766,116.0,50.0
SMAR,Sinar Mas Agro Resources and Te,Consumer Defensive,Farm Products,14719990628352.0,14719.990628352,640.05,,8.007187,,0.68759596,8.9320004,4.651000000000001,72.852,265.0,0.399,7250.0,3250.0
SMBR,Semen Baturaja Tbk.,Basic Materials,Building Materials,2800974823424.0,2800.974823424,24.0,,11.75,,0.8257832,7.312,4.7020003,15.563,91.0,0.545,354.0,144.0
SMCB,Solusi Bangun Indonesia Tbk,Basic Materials,Building Materials,6990021001216.0,6990.021001216,83.0,-23.25,9.337349,-33.333332,0.53685457,6.223999999999999,3.7609998,14.413,,0.433,790.0,730.0
SMDM,Suryamas Dutamakmur Tbk,Real Estate,Real Estate - Development,3889292378112.0,3889.292378112,3.56,,228.93259,,1.7154067,0.579,0.9209999999999999,1.371,,-1.0,3200.0,494.0
SMDR,Samudera Indonesia  Tbk,Industrials,Marine Shipping,5043684638720.0,5043.68463872,50.23,,6.131794,,9333.333,10.6709994,4.4990000000000006,60.317,373.0,0.004,370.0,192.0
SMGA,Sumber Mineral Global Abadi Tbk,Basic Materials,Other Industrial Metals & Mining,883750010880.0,883.75001088,,,,,2.1648269,12.442,5.6700002,28.43,,,155.0,50.0
SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials,Building Materials,17418973872128.0,17418.973872128,17.02,321.63,151.58636,8.02164,0.40195304,0.4,0.979,22.983,379.0,0.37,3760.0,2070.0
SMIL,Sarana Mitra Luas Tbk.,Industrials,Rental & Leasing Services,4253310779392.0,4253.310779392,11.66,,41.68096,,5.655635,13.834,9.2480004,48.206,76.0,-0.091,790.0,103.0
SMKM,Sumber Mas Konstruksi Tbk.,Industrials,Engineering & Construction,172913983488.0,172.913983488,14.543,,9.489101,,0.8348457,1.5700001000000001,1.6320000000000001,,61.0,-0.786,324.0,42.0
SMKL,Satyamitra Kemas Lestari Tbk.,Consumer Cyclical,Packaging & Containers,591328772096.0,591.328772096,32.982,,5.2452855,,0.618111,1.9709998999999998,1.923,108.775,178.0,0.106,290.0,129.0
SMLE,Sinergi Multi Lestarindo Tbk.,Basic Materials,Specialty Chemicals,614632390656.0,614.632390656,,,,,5.857165,-1.069,0.505,47.337,,,426.0,83.0
SMMA,Sinarmas Multiartha Tbk.,Financial Services,Insurance - Diversified,82779639382016.0,82779.639382016,470.6,,27.62431,,3.1427913,11.314,2.619,40.207,,-0.205,27225.0,12000.0
SMMT,Golden Eagle Energy Tbk.,Energy,Thermal Coal,5736874639360.0,5736.87463936,21.11,,79.346275,,167500.0,10.3719994,2.791,83.551,,0.446,2060.0,715.0
SMRA,Summarecon Agung Tbk,Real Estate,Real Estate - Development,6504376172544.0,6504.376172544,68.04,56.8,5.7907114,6.9366198,0.5704994,10.9639995,5.3200003,78.844,227.99999999999997,0.455,585.0,340.0
SMRU,"SMRU.JK,0P0000UBAV,0",,,624969973760.0,624.96997376,,,,,3.9751947,,,,,,50.0,50.0
SMSM,Selamat Sempurna Tbk,Consumer Cyclical,Auto Parts,10423203004416.0,10423.203004416,195.09,182.68,9.277769,9.908036,2.778042,30.177,18.956,4.297,787.0,0.031,2050.0,1630.0
SOCI,Soechi Lines Tbk.,Industrials,Marine Shipping,1482389979136.0,1482.389979136,40.19,,5.2251806,,3620.6897,4.2290002,3.1300000000000003,46.425,95.0,0.547,236.0,126.0
SOFA,Boston Furniture Industries Tbk,Consumer Cyclical,"Furnishings, Fixtures & Appliances",413393616896.0,413.393616896,-2.134,,,,9.085293,-1.9270000999999999,-0.328,1.435,,0.603,332.0,22.0
SOHO,Soho Global Health Tbk.,Healthcare,Medical Distribution,18974064508928.0,18974.064508928,40.96,,36.499023,,7.0149918,19.793,7.210999999999999,0.417,239.0,0.596,2040.0,500.0
SOLA,Xolare RCR Energy Tbk.,Industrials,Engineering & Construction,426984996864.0,426.984996864,,,,,2.5186965,18.129998,10.331000399999999,24.41,46.0,,206.0,50.0
SONA,Sona Topas Tourism Industry Tbk,Consumer Cyclical,Travel Services,1616256040960.0,1616.25604096,109.07,,22.370955,,2.324622,11.016,5.1820002,16.696,,1.208,10100.0,2400.0
SOSS,Shield On Service Tbk.,Industrials,Staffing & Employment Services,775431782400.0,775.4317824,44.231,,21.93032,,3.005115,-3.6960002,-0.233,21.279,124.0,-0.638,1620.0,266.0
SOTS,Satria Mega Kencana Tbk.,Consumer Cyclical,Lodging,314001260544.0,314.001260544,-25.093,,,,1.7925136,-9.081,-1.7180001,88.845,,,660.0,234.0
SOUL,Mitra Tirta Buwana Tbk.,Industrials,Specialty Business Services,106087571456.0,106.087571456,,,,,3.0065038,-10.8509995,-7.28,5.668,,-1.531,103.0,21.0
SPMA,Suparma Tbk,Basic Materials,Paper & Paper Products,1090685108224.0,1090.685108224,14.62,,18.194254,,0.44461384,2.408,3.082,27.837,472.0,0.677,338.46155,190.76923
SPRE,Soraya Berjaya Indonesia Tbk.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",100800004096.0,100.800004096,,,,,2.0192306,5.3469999999999995,3.9890002,7.367,,,282.0,68.0
SPTO,Surya Pertiwi Tbk.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1862999998464.0,1862.999998464,97.44,77.6,7.0812807,8.891753,1.0885031,12.247,6.1950002,10.083,1007.0,-0.098,730.0,565.0
SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials,Gold,668116451328.0,668.116451328,-1.48,,,,42.914173,-167.27201,-7.648000000000001,3900.699,,0.033,52.0,19.0
SRAJ,Sejahteraraya Anugrahjaya Tbk.,Healthcare,Medical Care Facilities,166143880855552.0,166143.880855552,-10.38,,,-2951.087,114.82052,-7.245,1.1729999,388.898,,0.947,18400.0,2250.0
SRIL,"SRIL.JK,0P0000YZ2P,0",,,2986021224448.0,2986.021224448,,,2.3981602,,-3318.182,,,,,,155.0,145.0
SRSN,Indo Acidatama Tbk,Basic Materials,Chemicals,391299989504.0,391.299989504,8.02,,8.104737,,0.50301427,6.421,4.074,31.552,152.0,0.039,81.0,50.0
SRTG,Saratoga Investama Sedaya Tbk.,Financial Services,Asset Management,21815231512576.0,21815.231512576,-321.07,143.25,,11.239093,0.4439868,-8.477,-5.064000200000001,2.844,92.0,0.406,2880.0,1200.0
SSIA,Surya Semesta Internusa Tbk,Industrials,Engineering & Construction,7961577521152.0,7961.577521152,21.03,102.08,81.55016,16.800549,1.4083292,2.913,2.716,16.247,88.0,0.878,3160.0,700.0
SSMS,Sawit Sumbermas Sarana Tbk.,Consumer Defensive,Farm Products,14763749801984.0,14763.749801984,127.14,55.0,12.191285,28.181818,4.593409,40.868,13.3,174.217,309.0,0.419,2530.0,995.0
SSTM,Sunson Textile Manufacture Tbk,Consumer Cyclical,Textile Manufacturing,819636404224.0,819.636404224,39.379,,17.77597,,3.6606283,-10.18,-4.244,,,0.279,960.0,111.0
STAR,Buana Artha Anugerah Tbk.,Financial Services,Asset Management,393600040960.0,393.60004096,1.89,,43.386242,,0.75197625,1.746,-0.27599998,5.327,,0.205,105.0,18.0
STTP,Siantar Top Tbk.,Consumer Defensive,Packaged Foods,13132749602816.0,13132.749602816,905.26,,11.074166,,1.8752356,18.391001000000003,9.628,,,0.717,15000.0,9800.0
STRK,Lovina Beach Brewery Tbk.,Consumer Defensive,Beverages - Brewers,2101479866368.0,2101.479866368,-1.72,,,,17.85389,-15.953999999999999,-10.488,3.166,,-1.407,276.0,50.0
SUGI,"SUGI.JK,0P0000BT07,0",,,,,,,,,,,,,,,50.0,50.0
SULI,SLJ Global Tbk.,Basic Materials,Lumber & Wood Production,809059418112.0,809.059418112,-13.88,,,,63999.996,-33.757,-3.121,39.813,,,180.0,69.0
SUNI,Sunindo Pratama Tbk.,Energy,Oil & Gas Equipment & Services,1974999973888.0,1974.999973888,73.78,,10.707509,,2.368631,23.381001,13.0,21.413,261.0,-0.875,950.0,655.0
SUPR,Solusi Tunas Pratama Tbk.,Real Estate,Real Estate Services,49882865860608.0,49882.865860608,947.16,409.97,46.2963,106.959045,6.532283,16.56,8.2440004,18.793,,-1.15,43875.0,43850.0
SURI,Maja Agung Latexindo Tbk.,Healthcare,Medical Instruments & Supplies,627103105024.0,627.103105024,-0.47,,,,1.8200871,-0.836,0.034999999999999996,0.445,,,152.0,50.0
SWAT,Sriwahana Adityakarta Tbk.,Consumer Cyclical,Packaging & Containers,48307200000.0,48.3072,3.148,,5.082592,,0.264179,-5.939,-1.1820001,213.242,,-0.193,40.0,14.0
SWID,Saraswanti Indoland Development,Real Estate,Real Estate - Development,613892227072.0,613.892227072,,,,,2.331956,14.883,7.5679995,60.429,82.0,0.194,142.0,54.0
TALF,Tunas Alfin Tbk.,Consumer Cyclical,Packaging & Containers,676717527040.0,676.71752704,15.21,,32.873108,,0.55473334,2.7379998999999997,2.327,24.081,63.0,0.268,680.0,248.0
TAMA,Lancartama Sejati Tbk.,Real Estate,Real Estate - Development,40800022528.0,40.800022528,-3.556,,,,1.124413,-25.252000000000002,2.2149999,379.551,,-0.09,49.0,13.0
TAMU,Pelayaran Tamarin Samudra Tbk.,Industrials,Marine Shipping,1049999966208.0,1049.999966208,-35.83,,,,27999.998,-52.703,-13.203000000000001,71.621,,-0.207,46.0,12.0
TARA,Agung Semesta Sejahtera Tbk.,Real Estate,Real Estate - Diversified,271880421376.0,271.880421376,-0.22,,,,0.2603062,-0.21,-0.11900000000000001,,,-0.317,53.0,8.0
TAXI,Express Transindo Utama Tbk.,Industrials,Railroads,173801996288.0,173.801996288,-0.32,,,,3.3333335,-6.254999999999999,-4.897,,,-0.922,33.0,6.0
TAYS,Jaya Swarasa Agung Tbk.,Consumer Defensive,Packaged Foods,90111434752.0,90.111434752,5.993,,13.68263,,2.0268934,-81.096,-4.438000000000001,477.558,,-0.714,99.0,50.0
TBIG,Tower Bersama Infrastructure Tb,Communication Services,Telecom Services,43944138244096.0,43944.138244096,58.45,75.11,33.70402,26.228199,4.3807664,11.8990004,5.982,286.839,244.0,0.137,2500.0,1680.0
TBLA,Tunas Baru Lampung Tbk,Consumer Defensive,Packaged Foods,4385228455936.0,4385.228455936,137.9,119.6,5.293691,6.103679,0.48821235,9.507,5.5710003,196.575,1192.0,0.268,895.0,510.0
TBMS,Tembaga Mulia Semanan Tbk,Industrials,Metal Fabrication,1054265769984.0,1054.265769984,0.019,,75526.32,,13932.039,8.645,4.298,37.787,403.0,0.301,1725.0,800.0
TCID,Mandom Indonesia Tbk,Consumer Defensive,Household & Personal Products,1258677338112.0,1258.677338112,-10.96,,,,0.693708,-0.25,-1.1390001,0.593,384.0,0.231,4080.0,1520.0
TCPI,Transcoal Pacific Tbk.,Industrials,Marine Shipping,37249999699968.0,37249.999699968,37.87,,196.72565,,17.647295,9.442,5.7940002999999995,58.971,7.000000000000001,-0.166,8550.0,4510.0
TDPM,"TDPM.JK,0P0001D349,0",,,1247726796800.0,1247.7267968,,,16.368639,,59499.996,,,,,,121.0,118.0
TEBE,Dana Brata Luhur Tbk.,Industrials,Infrastructure Operations,3096849940480.0,3096.84994048,99.48,,24.225975,,2.6562474,11.462,7.543000599999999,,424.0,0.27,4530.0,530.0
TECH,"TECH.JK,0P0001K0MO,0",,,62815002624.0,62.815002624,,,49.019608,,0.9448581,,,,,,50.0,50.0
TELE,Omni Inovasi Indonesia Tbk.,Communication Services,Telecom Services,65798365184.0,65.798365184,-15.0,,,,-0.013883982,,10.909,,,0.274,14.0,9.0
TFAS,Telefast Indonesia Tbk.,Industrials,Staffing & Employment Services,404263337984.0,404.263337984,0.12,,2033.3334,,2.317211,-0.0060000002,0.061,29.482,,-0.217,482.0,77.0
TFCO,Tifico Fiber Indonesia Tbk.,Consumer Cyclical,Textile Manufacturing,2411538153472.0,2411.538153472,18.4,,27.173914,,7575.758,1.746,0.561,0.61,,0.15,635.0,492.0
TGKA,Tigaraksa Satria Tbk,Consumer Defensive,Food Distribution,4868011458560.0,4868.01145856,419.12,,12.645543,,2.2069962,16.861,5.4569997,8.413,577.0,-0.221,8000.0,5050.0
TGRA,Terregra Asia Energy Tbk.,Utilities,Utilities - Renewable,74250002432.0,74.250002432,-10.36,,,,0.2933061,-9.137998999999999,-1.497,34.209,,0.386,51.0,17.0
TGUK,Platinum Wahab Nusantara Tbk.,Consumer Defensive,Food Distribution,489288925184.0,489.288925184,,,,,6.334967,-62.968999999999994,-33.977002,12.733,,0.323,137.0,50.0
TIFA,KDB Tifa Finance Tbk.,Financial Services,Credit Services,1463511810048.0,1463.511810048,16.69,,24.68544,,1.2246305,4.946,3.354,45.072,437.0,-0.087,825.0,380.0
TINS,Timah Tbk.,Basic Materials,Other Industrial Metals & Mining,23162513260544.0,23162.513260544,118.04,186.85,26.347,16.644367,3.041877,11.897001,5.2529998,33.641,209.0,1.076,3400.0,825.0
TIRA,Tira Austenite Tbk,Industrials,Industrial Distribution,855539974144.0,855.539974144,3.736,,389.45395,,5.1747684,0.013999999999999999,2.939,66.376,,-0.15,2380.0,350.0
TIRT,Tirta Mahakam Resources Tbk,Basic Materials,Lumber & Wood Production,44518088704.0,44.518088704,-39.9,,,,-0.06280681,,-10.106,,,-0.327,63.0,19.0
TKIM,Pabrik Kertas Tjiwi Kimia Tbk,Basic Materials,Paper & Paper Products,21714735988736.0,21714.735988736,2191.55,,3.182679,,7516.164,15.180999,1.0319999,28.018,36.0,0.767,8025.0,4450.0
TLKM,Telkom Indonesia (Persero) Tbk.,Communication Services,Telecom Services,359595868422144.0,359595.868422144,219.37,261.11,16.547386,13.902187,2.6220803,18.306998999999998,8.3129995,50.111,587.0,0.045,3650.0,2050.0
TLDN,Teladan Prima Agro Tbk.,Consumer Defensive,Farm Products,9256769159168.0,9256.769159168,97.41,,7.3401084,,2.5889568,40.217999999999996,15.751999999999999,25.543,655.0,0.032,925.0,470.0
TMAS,Temas Tbk.,Industrials,Marine Shipping,7563557994496.0,7563.557994496,11.0,,12.090909,,2.6248791,24.836999000000002,8.219,58.013,296.0,-0.272,155.0,115.0
TMPO,Tempo Intimedia Tbk.,Communication Services,Publishing,232833318912.0,232.833318912,4.5,,48.88889,,1.0017303,-0.69700005,0.479,26.791,,,272.0,100.0
TNCA,Trimuda Nuansa Citra Tbk.,Industrials,Integrated Freight & Logistics,93604077568.0,93.604077568,3.211,,69.137344,,2.1118119,1.0620001000000001,2.876,2.924,,0.951,338.0,109.0
TOBA,TBS Energi Utama Tbk.,Energy,Thermal Coal,6605922369536.0,6605.922369536,-271.28,,,,30769.23,-38.775003000000005,-1.509,163.135,249.00000000000003,1.041,1575.0,270.0
TOOL,Rohartindo Nusantara Luas Tbk.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",133251325952.0,133.251325952,,,,,0.714482,-3.2399999999999998,-1.4570001000000001,10.449,32.0,0.336,85.0,50.0
TOPS,Totalindo Eka Persada Tbk.,Industrials,Engineering & Construction,33329999872.0,33.329999872,-8.82,,,,0.08019889,-51.09,-0.632,100.946,,-0.41,1.0,1.0
TOSK,Topindo Solusi Komunika Tbk.,Technology,Software - Application,323770515456.0,323.770515456,,,,,2.0877416,4.9000002,3.4459999999999997,22.103,62.0,,165.0,50.0
TOTL,Total Bangun Persada Tbk,Industrials,Engineering & Construction,3256549900288.0,3256.549900288,111.54,72.82,8.561951,13.114529,2.6491058,32.549,6.216,0.403,785.0,0.211,985.0,478.0
TOTO,Surya Toto Indonesia Tbk,Industrials,Building Products & Equipment,2930880020480.0,2930.88002048,35.73,12.7,7.9485025,22.362206,1.1292561,14.793000000000001,7.898,8.047,844.9999999999999,0.046,300.0,199.0
TOWR,Sarana Menara Nusantara Tbk.,Communication Services,Telecom Services,31912976449536.0,31912.976449536,67.01,71.34,8.058498,7.5693865,1.1987613,15.428,6.058,171.935,294.0,-0.003,740.0,442.0
TOYS,Sunindo Adipersada Tbk.,Consumer Cyclical,Leisure,11480005632.0,11.480005632,-11.155,,,,0.04635451,-5.3600002,-0.33000002,40.577,,0.315,8.0,8.0
TPIA,Chandra Asri Pacific Tbk.,Basic Materials,Specialty Chemicals,637966321975296.0,637966.321975296,303.0,16.22,24.339933,454.68558,163888.88,42.018001999999996,-1.306,82.7,13.0,-0.04,10675.0,5275.0
TPMA,Trans Power Marine Tbk.,Industrials,Marine Shipping,2027958566912.0,2027.958566912,106.84,,5.4286785,,16111.111,17.132998999999998,7.013,77.255,1391.0,1.231,750.0,505.0
TRAM,"TRAM.JK,0P0000I0JV,0",,,2482180194304.0,2482.180194304,,,14.367816,,1.2069131,,,,,,50.0,50.0
TRGU,Cerestar Indonesia Tbk.,Consumer Defensive,Packaged Foods,1509628444672.0,1509.628444672,-4.1,,,,1.5485806,-3.2840000000000003,2.27,152.677,,0.317,212.0,150.0
TRIL,"TRIL.JK,0P0000EOL4,0",,,,,,,,,,,,,,,50.0,50.0
TRIM,Trimegah Sekuritas Indonesia Tb,Financial Services,Capital Markets,4976510238720.0,4976.51023872,47.06,,14.874628,,2.6856658,29.813000000000002,9.403,154.431,,-0.142,720.0,302.0
TRIN,Perintis Triniti Properti Tbk.,Real Estate,Real Estate - Development,2393851559936.0,2393.851559936,-22.28,,,,4.674883,-20.729,-3.583,154.673,,1.216,600.0,68.0
TRIO,"TRIO.JK,0P0000KSHE,0",,,,,,,,,,,,,,,426.0,426.0
TRIS,Trisula International Tbk.,Consumer Cyclical,Apparel Manufacturing,581373657088.0,581.373657088,3.677,,51.400597,,1.1316214,12.911000999999999,6.311,25.951,501.0,-0.013,246.0,152.0
TRJA,Transkon Jaya Tbk.,Industrials,Rental & Leasing Services,232570814464.0,232.570814464,32.128,,4.793327,,0.59570086,-0.878,1.97,86.946,,,208.0,119.0
TRON,Teknologi Karya Digital Nusa Tb,Technology,Information Technology Services,300900024320.0,300.90002432,,,,,1.6420097,-18.265,-7.453,22.781,,-0.217,198.0,70.0
TRST,Trias Sentosa Tbk,Consumer Cyclical,Packaging & Containers,1291679956992.0,1291.679956992,14.26,,32.258064,,0.5089064,1.8550001,2.3699999,76.031,109.00000000000001,0.097,600.0,434.0
TRUK,Guna Timur Raya Tbk.,Industrials,Trucking,171562582016.0,171.562582016,-9.934,,,,4.892261,-13.746998999999999,-4.2329997,15.302,,0.575,615.0,74.0
TRUS,Trust Finance Indonesia Tbk,Financial Services,Credit Services,350399987712.0,350.399987712,26.915,,16.273453,,0.8619638,4.9050003,4.123,,344.0,-0.365,1600.0,400.0
TSPC,Tempo Scan Pacific Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,13033508175872.0,13033.508175872,332.93,,8.680504,,1.3884125,16.377,8.4750004,10.393,692.0,0.233,3070.0,2120.0
TUGU,Asuransi Tugu Pratama Indonesia,Financial Services,Insurance - Diversified,3591131365376.0,3591.131365376,127.97,,7.8924747,,0.3533518,5.059,1.1569999,7.292,781.0,-0.037,1170.0,860.0
TURI,,,,,,,,,,,,,,,,,
TYRE,King Tire Indonesia Tbk.,Consumer Cyclical,Auto Parts,442033864704.0,442.033864704,,,,,1.346323,7.193,5.125,58.376,164.0,-0.503,174.0,117.0
UANG,Pakuan Tbk.,Consumer Cyclical,Leisure,6231499997184.0,6231.499997184,-130.52,,,,21.200308,-8.9320004,-1.437,112.799,725.0,3.877,8000.0,197.0
UCID,Uni-Charm Indonesia Tbk.,Consumer Defensive,Household & Personal Products,1845518139392.0,1845.518139392,1.02,,435.29413,,0.32376924,0.364,0.42500000000000004,3.052,380.0,0.044,805.0,422.0
UDNG,Agro Bahari Nusantara Tbk.,Consumer Defensive,Farm Products,6475148165120.0,6475.14816512,2.12,,1745.2831,,116.91472,-1.0570001,-1.5859999,1.316,,0.964,4690.0,37.0
UFOE,Damai Sejahtera Abadi Tbk.,Consumer Cyclical,Department Stores,553567977472.0,553.567977472,5.332,,35.821457,,2.325638,8.331,0.53,56.964,61.0,-0.292,384.0,165.0
ULTJ,Ultrajaya Milk Industry & Tradi,Consumer Defensive,Beverages - Non-Alcoholic,15077353717760.0,15077.35371776,116.07,143.8,12.492461,10.083449,1.9217796,16.419001,10.65,0.373,308.0,0.105,1840.0,1215.0
UNIC,Unggul Indah Cahaya Tbk,Basic Materials,Chemicals,3536231858176.0,3536.231858176,1212.7,,7.606993,,11872.587,9.061,5.8369998,1.48,238.0,0.208,10300.0,6500.0
UNIQ,Ulima Nitra Tbk.,Energy,Thermal Coal,1268149125120.0,1268.14912512,17.24,,23.433874,,2.6081173,11.788,6.23,35.64,104.0,0.488,790.0,330.0
UNIT,"UNIT.JK,0P0000EL10,0",,,23833415680.0,23.83341568,,,69.741776,,0.17648742,,,,,,338.0,300.0
UNSP,Bakrie Sumatera Plantations Tbk,Consumer Defensive,Farm Products,475030847488.0,475.030847488,291.29,,0.6522709,,-0.090254895,,5.776,,,0.05,200.0,70.0
UNTD,Terang Dunia Internusa Tbk.,Consumer Cyclical,Auto Manufacturers,633333284864.0,633.333284864,2.45,,38.77551,,1.0633655,,,102.163,526.0,,140.0,63.0
UNTR,United Tractors Tbk,Basic Materials,Other Industrial Metals & Mining,98876002402304.0,98876.002402304,4245.55,4969.62,6.412597,5.478286,1.0186993,16.168,8.437,19.014,753.0,-0.012,28500.0,20025.0
UNVR,Unilever Indonesia Tbk,Consumer Defensive,Household & Personal Products,97282502426624.0,97282.502426624,95.88,106.24,26.595745,24.00226,28.87359,108.80700000000002,18.82,47.547,351.0,0.236,2840.0,985.0
URBN,Urban Jakarta Propertindo Tbk.,Real Estate,Real Estate - Development,574006034432.0,574.006034432,-1.63,,,,0.5287022,-0.25799998999999996,-0.22,39.704,,-0.28,226.0,93.0
UVCR,Trimegah Karya Pratama Tbk.,Technology,Software - Application,232016805888.0,232.016805888,3.45,,33.623188,,2.3154156,-0.084,-1.118,79.723,45.0,1.53,152.0,50.0
VAST,Vastland Indonesia Tbk.,Real Estate,Real Estate Services,464469622784.0,464.469622784,,,,,1.1872588,4.3909997,3.2969999999999997,24.334,,1.013,234.0,67.0
VERN,Verona Indah Pictures Tbk.,Communication Services,Entertainment,562346524672.0,562.346524672,,,,,1.0567038,,,,,,190.0,77.0
VICI,Victoria Care Indonesia Tbk.,Consumer Defensive,Household & Personal Products,4226039939072.0,4226.039939072,24.19,,26.04382,,3.8566313,15.458,10.474,7.783,157.0,-0.16,720.0,575.0
VICO,Victoria Investama Tbk.,Financial Services,Asset Management,2799941713920.0,2799.94171392,30.56,,6.0209427,,0.7388638,9.945,1.5709999999999997,,,-0.296,292.0,130.0
VINS,Victoria Insurance Tbk.,Financial Services,Insurance - Property & Casualty,224928333824.0,224.928333824,7.892,,19.513432,,1.0281953,6.138,2.391,1.01,,0.58,191.0,94.0
VISI,Satu Visi Putra Tbk.,Industrials,Industrial Distribution,645749997568.0,645.749997568,1.43,,146.85315,,3.4837427,2.322,3.4760001999999997,47.244,48.0,,316.0,85.0
VIVA,Visi Media Asia Tbk.,Communication Services,Broadcasting,460999557120.0,460.99955712,341.01,,0.08210903,,-17.209589,,-2.999,1057.31,,0.407,46.0,6.0
VKTR,VKTR Teknologi Mobilitas Tbk.,Consumer Cyclical,Recreational Vehicles,18549999403008.0,18549.999403008,0.17,,2494.1177,,17.594822,0.179,0.061,18.59,,2.634,446.0,60.0
VOKS,Voksel Electric Tbk,Industrials,Electrical Equipment & Parts,1105390338048.0,1105.390338048,-53.017,,,,1.7541083,-16.125999999999998,-1.9960001,77.481,,0.125,410.0,180.0
VRNA,Mizuho Leasing Indonesia Tbk.,Financial Services,Credit Services,500487127040.0,500.48712704,0.689,,127.72134,,0.6758573,-1.6629999999999998,-0.40499999999999997,299.554,,-0.19,120.0,68.0
VTNY,Venteny Fortuna International T,Industrials,Staffing & Employment Services,613988958208.0,613.988958208,2.73,,35.897434,,1.4919239,3.5709999999999997,1.155,224.714,,0.75,268.0,87.0
WAPO,Wahana Pronatural Tbk.,Consumer Defensive,Packaged Foods,234534469632.0,234.534469632,-1.287,,,,3.5676532,-14.173001,-5.256,0.145,,-1.206,364.0,88.0
WEGE,Wijaya Karya Bangunan Gedung Tb,Industrials,Engineering & Construction,631751966720.0,631.75196672,-3.1,,,,0.24760182,-1.149,-1.131,8.44,109.00000000000001,0.357,96.0,50.0
WEHA,WEHA Transportasi Indonesia Tbk,Industrials,Railroads,154818822144.0,154.818822144,18.0,,5.888889,,0.6046191,9.198,5.494000000000001,40.05,561.0,,139.0,86.0
WGSH,Wira Global Solusi Tbk.,Technology,Software - Infrastructure,266879991808.0,266.879991808,5.95,,43.02521,,3.5453136,7.946000000000001,4.408,5.788,40.0,1.111,292.0,82.0
WICO,Wicaksana Overseas Internationa,Consumer Defensive,Food Distribution,294426378240.0,294.42637824,-119.502,,,,-1.1588141,,-40.583999999999996,,,-0.967,123.0,123.0
WIDI,Widiant Jaya Krenindo Tbk.,Industrials,Rental & Leasing Services,67201335296.0,67.201335296,,,,,1.4752371,-3.717,-1.043,0.216,,-1.32,69.0,11.0
WIFI,Solusi Sinergi Digital Tbk.,Technology,Information Technology Services,17942896967680.0,17942.89696768,161.09,,20.98206,10.48062,3.6273606,24.219999,9.725000999999999,109.336,6.0,0.385,4190.0,362.0
WIIM,Wismilak Inti Makmur Tbk.,Consumer Defensive,Tobacco,2885324898304.0,2885.324898304,181.25,,7.6689653,5.930034,1.4013354,19.354,10.1210006,16.606,447.0,-0.464,1620.0,540.0
